Date,Value
1977-01-01,124
1978-01-01,126
1979-01-01,116
1980-01-01,151
1981-01-01,137
1982-01-01,136
1983-01-01,126
1984-01-01,165
1985-01-01,164
1986-01-01,153
1987-01-01,168
1988-01-01,172
1989-01-01,160
1990-01-01,169
1991-01-01,176
1992-01-01,170
1993-01-01,169
1994-01-01,172
1995-01-01,166
1996-01-01,177
1997-01-01,167
1998-01-01,170
1999-01-01,173
2000-01-01,176
2001-01-01,158
2002-01-01,194
2003-01-01,189
2004-01-01,170
2005-01-01,230
2006-01-01,187
2007-01-01,192
2008-01-01,250
2009-01-01,278
2010-01-01,293
2011-01-01,395
2012-01-01,588
2013-01-01,728
2014-01-01,985
2015-01-01,1238
2016-01-01,1303
2017-01-01,1464
2018-01-01,1612
2019-01-01,1950
2020-01-01,2349
2021-01-01,2447
