Date,Value
1979-01-01,4306
1980-01-01,3799
1981-01-01,3876
1982-01-01,3705
1983-01-01,3537
1984-01-01,3492
1985-01-01,3310
1986-01-01,2982
1987-01-01,3133
1988-01-01,3224
1989-01-01,3331
1990-01-01,3541
1991-01-01,3471
1992-01-01,3418
1993-01-01,3338
1994-01-01,3335
1995-01-01,3207
1996-01-01,3197
1997-01-01,3008
1998-01-01,3039
1999-01-01,3366
2000-01-01,3998
2001-01-01,3919
2002-01-01,4011
2003-01-01,3661
2004-01-01,3965
2005-01-01,4132
2006-01-01,4295
2007-01-01,4387
2008-01-01,4406
2009-01-01,4558
2010-01-01,4720
2011-01-01,4884
2012-01-01,4833
2013-01-01,5108
2014-01-01,6434
2015-01-01,6077
2016-01-01,6868
2017-01-01,10734
2018-01-01,14798
2019-01-01,14767
2020-01-01,16890
2021-01-01,24870
