Date,Value
1979-01-01,504
1980-01-01,536
1981-01-01,561
1982-01-01,592
1983-01-01,600
1984-01-01,647
1985-01-01,806
1986-01-01,883
1987-01-01,940
1988-01-01,957
1989-01-01,1015
1990-01-01,1047
1991-01-01,1187
1992-01-01,1126
1993-01-01,1036
1994-01-01,1025
1995-01-01,1102
1996-01-01,1046
1997-01-01,1429
1998-01-01,1295
1999-01-01,1530
2000-01-01,1837
2001-01-01,1950
2002-01-01,1999
2003-01-01,1971
2004-01-01,1982
2005-01-01,2240
2006-01-01,2369
2007-01-01,2588
2008-01-01,2846
2009-01-01,2919
2010-01-01,2785
2011-01-01,2128
2012-01-01,1515
2013-01-01,1794
2014-01-01,1753
2015-01-01,1464
2016-01-01,1199
2017-01-01,1221
2018-01-01,1394
2019-01-01,1369
2020-01-01,1249
2021-01-01,1345
