Date,Value
1981-01-01,-2
1982-01-01,55
1986-01-01,-35
1987-01-01,-22
1988-01-01,-31
1989-01-01,23
1990-01-01,-111
1991-01-01,101
1992-01-01,-63
1993-01-01,-3
1994-01-01,-42
1995-01-01,85
1996-01-01,-13
1997-01-01,23
1998-01-01,23
1999-01-01,32
2000-01-01,8
2001-01-01,25
2002-01-01,-3
2003-01-01,57
2004-01-01,3
2005-01-01,17
2006-01-01,13
2007-01-01,-26
2008-01-01,18
2009-01-01,-30
2010-01-01,11
2011-01-01,-25
2012-01-01,16
2013-01-01,-13
2014-01-01,-3
2015-01-01,4
2016-01-01,77
2017-01-01,5
2018-01-01,-6
2019-01-01,0
2020-01-01,-3
2021-01-01,-20
