Date,Value
1979-01-01,44
1980-01-01,124
1981-01-01,94
1990-01-01,944
1991-01-01,211
1992-01-01,195
1993-01-01,165
1994-01-01,2132
1995-01-01,293
1996-01-01,97
1997-01-01,56
1998-01-01,316
1999-01-01,142
2000-01-01,70
2001-01-01,225
2002-01-01,157
2003-01-01,125
2004-01-01,157
2005-01-01,61
2006-01-01,213
2007-01-01,36
2008-01-01,747
2009-01-01,337
2010-01-01,180
2011-01-01,163
2012-01-01,262
2013-01-01,79
2014-01-01,43
2015-01-01,203
2016-01-01,399
2017-01-01,80
2018-01-01,47
2019-01-01,58
2020-01-01,127
2021-01-01,42
