Date,Value
1981-01-01,2494
1986-01-01,2024
1987-01-01,1462
1988-01-01,1604
1989-01-01,4615
1990-01-01,1723
1991-01-01,1769
1992-01-01,1282
1993-01-01,1593
1994-01-01,1294
1995-01-01,1509
1996-01-01,1036
1997-01-01,1410
1998-01-01,2105
1999-01-01,2393
2000-01-01,1318
2001-01-01,1737
2002-01-01,1918
2003-01-01,1193
2004-01-01,1263
2005-01-01,878
2006-01-01,1453
2007-01-01,1138
2008-01-01,1416
2009-01-01,3157
2010-01-01,3222
2011-01-01,5877
2012-01-01,12876
2013-01-01,3828
2014-01-01,3438
2015-01-01,6664
2016-01-01,6358
2017-01-01,3246
2018-01-01,7221
2019-01-01,10565
2020-01-01,8685
2021-01-01,4674
