Date,Value
1979-01-01,365.0
1980-01-01,397.0
1981-01-01,511.0
1982-01-01,191.0
1983-01-01,144.0
1984-01-01,147.0
1985-01-01,161.0
1986-01-01,87.0
1987-01-01,67.0
1988-01-01,1162.0
1989-01-01,323.0
1990-01-01,1559.0
1991-01-01,495.0
1992-01-01,390.0
1993-01-01,293.0
1994-01-01,477.0
1995-01-01,515.0
1996-01-01,442.0
1997-01-01,485.0
1998-01-01,585.0
1999-01-01,486.0
2000-01-01,1275.0
2001-01-01,776.0
2002-01-01,931.0
2003-01-01,976.0
2004-01-01,908.0
2005-01-01,613.0
2006-01-01,446.0
2007-01-01,168.0
2008-01-01,111.0
2009-01-01,130.0
2010-01-01,150.0
2011-01-01,223.0
2012-01-01,103.0
2013-01-01,58.0
2014-01-01,168.0
2015-01-01,109.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
