Date,Value
1979-01-01,64.0
1980-01-01,72.0
1981-01-01,91.0
1982-01-01,49.0
1983-01-01,99.0
1984-01-01,162.0
1985-01-01,83.0
1986-01-01,73.0
1987-01-01,20.0
1988-01-01,79.0
1989-01-01,84.0
1990-01-01,43.0
1991-01-01,73.0
1992-01-01,36.0
1993-01-01,139.0
1994-01-01,282.0
1995-01-01,29.0
1996-01-01,338.0
1997-01-01,63.0
1998-01-01,100.0
1999-01-01,38.0
2000-01-01,80.0
2001-01-01,89.0
2002-01-01,44.0
2003-01-01,46.0
2004-01-01,67.0
2005-01-01,47.0
2006-01-01,75.0
2007-01-01,73.0
2008-01-01,45.0
2009-01-01,12.0
2010-01-01,27.0
2011-01-01,4.0
2012-01-01,9.0
2013-01-01,11.0
2014-01-01,23.0
2015-01-01,12.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
