Date,Value
1979-01-01,608
1980-01-01,530
1981-01-01,655
1982-01-01,733
1983-01-01,872
1984-01-01,645
1985-01-01,574
1986-01-01,589
1987-01-01,546
1988-01-01,576
1989-01-01,364
1990-01-01,413
1991-01-01,379
1992-01-01,380
1993-01-01,393
1994-01-01,332
1995-01-01,263
1996-01-01,378
1997-01-01,299
1998-01-01,306
1999-01-01,275
2000-01-01,242
2001-01-01,203
2002-01-01,237
2003-01-01,314
2004-01-01,288
2005-01-01,859
2006-01-01,1589
2007-01-01,2350
2008-01-01,2682
2009-01-01,2322
2010-01-01,2504
2011-01-01,3754
2012-01-01,3183
2013-01-01,3040
2014-01-01,2418
2015-01-01,1502
2016-01-01,1753
2017-01-01,1974
2018-01-01,1832
2019-01-01,1236
2020-01-01,832
2021-01-01,1241
