Date,Value
1979-01-01,1559
1980-01-01,1602
1981-01-01,1637
1982-01-01,1800
1983-01-01,1887
1984-01-01,2051
1985-01-01,1875
1986-01-01,1861
1987-01-01,1873
1988-01-01,1843
1989-01-01,1637
1990-01-01,1672
1991-01-01,1536
1992-01-01,1619
1993-01-01,1462
1994-01-01,1525
1995-01-01,1462
1996-01-01,1383
1997-01-01,1423
1998-01-01,1294
1999-01-01,1505
2000-01-01,1545
2001-01-01,1589
2002-01-01,1616
2003-01-01,1629
2004-01-01,1797
2005-01-01,1921
2006-01-01,2227
2007-01-01,3269
2008-01-01,5616
2009-01-01,10852
2010-01-01,14152
2011-01-01,16328
2012-01-01,10957
2013-01-01,13389
2014-01-01,12606
2015-01-01,8251
2016-01-01,7364
2017-01-01,8213
2018-01-01,6691
2019-01-01,5784
2020-01-01,4907
2021-01-01,6028
