Date,Value
1979-01-01,601
1980-01-01,668
1981-01-01,494
1982-01-01,481
1983-01-01,529
1984-01-01,419
1985-01-01,375
1986-01-01,665
1987-01-01,1002
1988-01-01,943
1989-01-01,1011
1990-01-01,922
1991-01-01,967
1992-01-01,938
1993-01-01,890
1994-01-01,1022
1995-01-01,1018
1996-01-01,1778
1997-01-01,1975
1998-01-01,2158
1999-01-01,2086
2000-01-01,2558
2001-01-01,2873
2002-01-01,3097
2003-01-01,3219
2004-01-01,2961
2005-01-01,2808
2006-01-01,2925
2007-01-01,3512
2008-01-01,3105
2009-01-01,2728
2010-01-01,2903
2011-01-01,2472
2012-01-01,1687
2013-01-01,1714
2014-01-01,1765
2015-01-01,1302
2016-01-01,1238
2017-01-01,1431
2018-01-01,1469
2019-01-01,1159
2020-01-01,813
2021-01-01,1088
