Date,Value
1982-01-01,122
1983-01-01,175
1984-01-01,216
1985-01-01,235
1986-01-01,253
1987-01-01,248
1988-01-01,230
1989-01-01,217
1990-01-01,138
1991-01-01,225
1992-01-01,904
1993-01-01,1322
1994-01-01,1833
1995-01-01,1836
1996-01-01,1930
1997-01-01,1923
1998-01-01,1973
1999-01-01,2017
2000-01-01,1704
2001-01-01,1752
2002-01-01,1673
2003-01-01,1717
2004-01-01,1742
2005-01-01,2018
2006-01-01,2302
2007-01-01,2529
2008-01-01,2378
2009-01-01,3091
2010-01-01,3215
2011-01-01,2832
2012-01-01,2579
2013-01-01,2373
2014-01-01,2800
2015-01-01,2496
2016-01-01,2447
2017-01-01,2741
2018-01-01,2554
2019-01-01,2298
2020-01-01,1951
2021-01-01,2092
