Date,Value
1979-01-01,100
1980-01-01,68
1981-01-01,67
1982-01-01,104
1983-01-01,64
1984-01-01,205
1985-01-01,257
1986-01-01,87
1987-01-01,54
1988-01-01,57
1989-01-01,58
1990-01-01,41
1991-01-01,97
1992-01-01,81
1993-01-01,37
1994-01-01,44
1995-01-01,27
1996-01-01,82
1997-01-01,38
1998-01-01,72
1999-01-01,72
2000-01-01,369
2001-01-01,78
2002-01-01,61
2003-01-01,65
2004-01-01,83
2005-01-01,65
2006-01-01,65
2007-01-01,80
2008-01-01,111
2009-01-01,96
2010-01-01,47
2011-01-01,116
2012-01-01,84
2013-01-01,115
2014-01-01,112
2015-01-01,28
2016-01-01,16
2017-01-01,41
2018-01-01,19
2019-01-01,57
2020-01-01,49
2021-01-01,76
