Date,Value
1981-01-01,128
1986-01-01,104
1987-01-01,90
1988-01-01,141
1989-01-01,3397
1990-01-01,82
1991-01-01,110
1992-01-01,127
1993-01-01,91
1994-01-01,199
1995-01-01,125
1996-01-01,82
1997-01-01,81
1998-01-01,84
1999-01-01,97
2000-01-01,76
2001-01-01,55
2002-01-01,46
2003-01-01,66
2004-01-01,103
2005-01-01,49
2006-01-01,56
2007-01-01,63
2008-01-01,38
2009-01-01,45
2010-01-01,46
2011-01-01,34
2012-01-01,65
2013-01-01,59
2014-01-01,4
2015-01-01,12
2016-01-01,9
2017-01-01,8
2018-01-01,24
2019-01-01,3
2020-01-01,0
2021-01-01,62
