Date,Value
1979-01-01,209
1980-01-01,234
1981-01-01,278
1982-01-01,306
1983-01-01,153
1984-01-01,198
1985-01-01,182
1986-01-01,377
1987-01-01,233
1988-01-01,179
1989-01-01,217
1990-01-01,305
1991-01-01,265
1992-01-01,182
1993-01-01,263
1994-01-01,151
1995-01-01,210
1996-01-01,172
1997-01-01,318
1998-01-01,525
1999-01-01,793
2000-01-01,236
2001-01-01,484
2002-01-01,267
2003-01-01,309
2004-01-01,373
2005-01-01,232
2006-01-01,757
2007-01-01,407
2008-01-01,556
2009-01-01,2296
2010-01-01,2489
2011-01-01,5330
2012-01-01,12096
2013-01-01,3243
2014-01-01,2722
2015-01-01,6027
2016-01-01,5607
2017-01-01,2795
2018-01-01,6937
2019-01-01,10054
2020-01-01,7124
2021-01-01,4254
