Date,Value
1979-01-01,25
1980-01-01,13
1981-01-01,2
1982-01-01,10
1983-01-01,4
1984-01-01,3
1985-01-01,6
1986-01-01,6
1987-01-01,3
1988-01-01,3
1989-01-01,7
1990-01-01,5
1991-01-01,2
1992-01-01,1
1993-01-01,1
1994-01-01,0
1995-01-01,1
1996-01-01,0
1997-01-01,15
1998-01-01,3
1999-01-01,9
2000-01-01,5
2001-01-01,8
2002-01-01,13
2003-01-01,4
2004-01-01,10
2005-01-01,52
2006-01-01,38
2007-01-01,11
2008-01-01,7
2009-01-01,21
2010-01-01,7
2011-01-01,5
2012-01-01,3
2013-01-01,4
2014-01-01,6
2015-01-01,5
2016-01-01,7
2017-01-01,47
2018-01-01,1
2019-01-01,3
2020-01-01,1
2021-01-01,1
