Date,Value
1979-01-01,395
1980-01-01,615
1981-01-01,967
1982-01-01,908
1983-01-01,679
1984-01-01,420
1985-01-01,1379
1986-01-01,428
1987-01-01,603
1988-01-01,522
1989-01-01,3038
1990-01-01,415
1991-01-01,989
1992-01-01,807
1993-01-01,1239
1994-01-01,891
1995-01-01,447
1996-01-01,1125
1997-01-01,1773
1998-01-01,1818
1999-01-01,734
2000-01-01,602
2001-01-01,1071
2002-01-01,2252
2003-01-01,1936
2004-01-01,1691
2005-01-01,2287
2006-01-01,1136
2007-01-01,2425
2008-01-01,2659
2009-01-01,1531
2010-01-01,1711
2011-01-01,2172
2012-01-01,3056
2013-01-01,2482
2014-01-01,1533
2015-01-01,2645
2016-01-01,4772
2017-01-01,814
2018-01-01,599
2019-01-01,1502
2020-01-01,622
2021-01-01,1035
