Date,Value
1990-01-01,4454
1991-01-01,4165
1992-01-01,4066
1993-01-01,4064
1994-01-01,4168
1995-01-01,4017
1996-01-01,4341
1997-01-01,4393
1998-01-01,4105
1999-01-01,3887
2000-01-01,3882
2001-01-01,3913
2002-01-01,3563
2003-01-01,3502
2004-01-01,3133
2005-01-01,2348
2006-01-01,2206
2007-01-01,2178
2008-01-01,1745
2009-01-01,1779
2010-01-01,1660
2011-01-01,1210
2012-01-01,894
2013-01-01,691
2014-01-01,592
2015-01-01,503
2016-01-01,411
2017-01-01,312
2018-01-01,257
2019-01-01,310
2020-01-01,184
2021-01-01,174
