Date,Value
1979-01-01,176
1980-01-01,161
1981-01-01,181
1982-01-01,188
1983-01-01,193
1984-01-01,189
1985-01-01,200
1986-01-01,179
1987-01-01,179
1988-01-01,184
1989-01-01,192
1990-01-01,158
1991-01-01,184
1992-01-01,219
1993-01-01,184
1994-01-01,201
1995-01-01,195
1996-01-01,211
1997-01-01,207
1998-01-01,204
1999-01-01,202
2000-01-01,198
2001-01-01,213
2002-01-01,200
2003-01-01,204
2004-01-01,206
2005-01-01,213
2006-01-01,192
2007-01-01,164
2008-01-01,149
2009-01-01,136
2010-01-01,145
2011-01-01,152
2012-01-01,129
2013-01-01,108
2014-01-01,101
2015-01-01,94
2016-01-01,112
2017-01-01,101
2018-01-01,93
2019-01-01,72
2020-01-01,75
2021-01-01,67
