Date,Value
1979-01-01,32
1980-01-01,26
1981-01-01,19
1982-01-01,19
1983-01-01,30
1984-01-01,51
1985-01-01,51
1986-01-01,47
1987-01-01,45
1988-01-01,69
1989-01-01,62
1990-01-01,83
1991-01-01,77
1992-01-01,68
1993-01-01,67
1994-01-01,79
1995-01-01,67
1996-01-01,57
1997-01-01,48
1998-01-01,42
1999-01-01,52
2000-01-01,48
2001-01-01,48
2002-01-01,60
2003-01-01,62
2004-01-01,63
2005-01-01,61
2006-01-01,63
2007-01-01,63
2008-01-01,70
2009-01-01,69
2010-01-01,65
2011-01-01,68
2012-01-01,65
2013-01-01,144
2014-01-01,486
2015-01-01,978
2016-01-01,1412
2017-01-01,1773
2018-01-01,2354
2019-01-01,2576
2020-01-01,2340
2021-01-01,2234
