Date,Value
1979-01-01,51
1980-01-01,122
1981-01-01,89
1982-01-01,81
1983-01-01,108
1984-01-01,77
1985-01-01,91
1986-01-01,98
1987-01-01,97
1988-01-01,101
1989-01-01,68
1990-01-01,86
1991-01-01,66
1992-01-01,61
1993-01-01,53
1994-01-01,55
1995-01-01,53
1996-01-01,51
1997-01-01,42
1998-01-01,52
1999-01-01,67
2000-01-01,70
2001-01-01,85
2002-01-01,94
2003-01-01,112
2004-01-01,130
2005-01-01,161
2006-01-01,195
2007-01-01,219
2008-01-01,197
2009-01-01,312
2010-01-01,302
2011-01-01,270
2012-01-01,289
2013-01-01,304
2014-01-01,325
2015-01-01,321
2016-01-01,255
2017-01-01,294
2018-01-01,260
2019-01-01,327
2020-01-01,260
2021-01-01,305
