Date,Value
1979-01-01,201.0
1980-01-01,239.0
1981-01-01,253.0
1982-01-01,248.0
1983-01-01,257.0
1984-01-01,267.0
1985-01-01,331.0
1986-01-01,293.0
1987-01-01,276.0
1988-01-01,266.0
1989-01-01,313.0
1990-01-01,334.0
1991-01-01,243.0
1992-01-01,266.0
1993-01-01,274.0
1994-01-01,275.0
1995-01-01,263.0
1996-01-01,255.0
1997-01-01,257.0
1998-01-01,261.0
1999-01-01,250.0
2000-01-01,264.0
2001-01-01,270.0
2002-01-01,315.0
2003-01-01,316.0
2004-01-01,320.0
2005-01-01,343.0
2006-01-01,357.0
2007-01-01,417.0
2008-01-01,484.0
2009-01-01,1070.0
2010-01-01,1717.0
2011-01-01,2511.0
2012-01-01,3869.0
2013-01-01,5990.0
2014-01-01,6742.0
2015-01-01,7323.0
2016-01-01,8470.0
2017-01-01,10246.0
2018-01-01,
2019-01-01,13052.0
2020-01-01,8523.0
2021-01-01,11247.0
