Date,Value
1979-01-01,78
1980-01-01,-143
1981-01-01,104
1982-01-01,102
1983-01-01,6
1984-01-01,64
1985-01-01,-89
1986-01-01,179
1987-01-01,19
1988-01-01,24
1989-01-01,3
1990-01-01,53
1991-01-01,-341
1992-01-01,102
1993-01-01,60
1994-01-01,-91
1995-01-01,-46
1996-01-01,-105
1997-01-01,-92
1998-01-01,126
1999-01-01,-105
2000-01-01,-36
2001-01-01,211
2002-01-01,176
2003-01-01,-9
2004-01-01,39
2005-01-01,-40
2006-01-01,-34
2007-01-01,-15
2008-01-01,25
2009-01-01,172
2010-01-01,-178
2011-01-01,-23
2012-01-01,-86
2013-01-01,-28
2014-01-01,98
2015-01-01,-41
2016-01-01,-222
2017-01-01,594
2018-01-01,-265
2019-01-01,1151
2020-01-01,1039
2021-01-01,-751
