Date,Value
1979-01-01,113
1980-01-01,71
1981-01-01,135
1982-01-01,113
1983-01-01,87
1984-01-01,122
1985-01-01,102
1986-01-01,128
1987-01-01,133
1988-01-01,110
1989-01-01,124
1990-01-01,164
1991-01-01,122
1992-01-01,69
1993-01-01,65
1994-01-01,80
1995-01-01,86
1996-01-01,127
1997-01-01,81
1998-01-01,111
1999-01-01,183
2000-01-01,130
2001-01-01,62
2002-01-01,196
2003-01-01,152
2004-01-01,111
2005-01-01,88
2006-01-01,80
2007-01-01,125
2008-01-01,59
2009-01-01,224
2010-01-01,228
2011-01-01,388
2012-01-01,234
2013-01-01,459
2014-01-01,1308
2015-01-01,780
2016-01-01,1185
2017-01-01,946
2018-01-01,1384
2019-01-01,956
2020-01-01,1234
2021-01-01,1587
