Date,Value
1979-01-01,3405
1980-01-01,3405
1981-01-01,3316
1982-01-01,3248
1983-01-01,3355
1984-01-01,3518
1985-01-01,3454
1986-01-01,3443
1987-01-01,3351
1988-01-01,3192
1989-01-01,3099
1990-01-01,2936
1991-01-01,2968
1992-01-01,3031
1993-01-01,2868
1994-01-01,2907
1995-01-01,2886
1996-01-01,2938
1997-01-01,3022
1998-01-01,3136
1999-01-01,3313
2000-01-01,3299
2001-01-01,3193
2002-01-01,2988
2003-01-01,2855
2004-01-01,2742
2005-01-01,2432
2006-01-01,2281
2007-01-01,2296
2008-01-01,2349
2009-01-01,2556
2010-01-01,2445
2011-01-01,2722
2012-01-01,3393
2013-01-01,4114
2014-01-01,5277
2015-01-01,6193
2016-01-01,6427
2017-01-01,7210
2018-01-01,8634
2019-01-01,10160
2020-01-01,10399
2021-01-01,10856
